periods,out_channels,dropout,base_lr,train_loss,test_loss
3,16,0.001,1e-05,0.13322407,0.05394665710628033
3,16,0.001,0.0001,0.119700834,0.054375337436795235
3,16,0.001,0.001,0.08160401,0.0672427099198103
3,16,0.01,1e-05,0.13965306,0.05330468714237213
3,16,0.01,0.0001,0.12459127,0.053163524717092514
3,16,0.01,0.001,0.08701472,0.06757897883653641
3,32,0.001,1e-05,0.13022964,0.05344389192759991
3,32,0.001,0.0001,0.10632798,0.058258600533008575
3,32,0.001,0.001,0.07727341,0.07257702946662903
3,32,0.01,1e-05,0.12680854,0.05372709035873413
3,32,0.01,0.0001,0.1051276,0.05891118198633194
3,32,0.01,0.001,0.07881005,0.06681864708662033
7,16,0.001,1e-05,0.13055272,0.04654788412153721
7,16,0.001,0.0001,0.11165697,0.04968924820423126
7,16,0.001,0.001,0.089777015,0.04393510892987251
7,16,0.01,1e-05,0.12852997,0.04702272266149521
7,16,0.01,0.0001,0.11339962,0.04811003990471363
7,16,0.01,0.001,0.08525602,0.055254364386200905
7,32,0.001,1e-05,0.12025563,0.04728406108915806
7,32,0.001,0.0001,0.10177453,0.048556745052337646
7,32,0.001,0.001,0.074842244,0.05807926133275032
7,32,0.01,1e-05,0.124240085,0.046356095001101494
7,32,0.01,0.0001,0.10486167,0.04528811573982239
7,32,0.01,0.001,0.07482551,0.051864439621567726
